name,frequency
Alan,4405
Angeline,4402
Lela,4387
Reba,4355
Jo,4330
Lowell,4330
Tommy,4329
Lonnie,4317
Ervin,4315
Goldie,4311
Ramona,4299
Johnie,4296
Dewey,4292
Nadine,4263
Juan,4210
Luella,4204
Sallie,4195
Jesus,4185
Alton,4153
Irvin,4150
Iva,4135
Carroll,4133
Connie,4122
Janie,4116
Antonio,4112
Allan,4107
Ted,4080
Nelson,4063
Adele,4061
Addie,4056
Wilfred,4041
Elbert,4015
Emil,3952
Cecilia,3921
Sylvester,3910
Julian,3905
Leola,3889
Effie,3878
Cecelia,3878
Sue,3871
Fay,3870
Mark,3869
Etta,3860
Selma,3839
Natalie,3828
Rufus,3809
Ina,3802
Forrest,3797
Seymour,3785
Isabelle,3716
Wendell,3716
Nick,3701
Isaac,3699
Nathan,3678
Ola,3625
Malcolm,3621
Frankie,3604
Pete,3573
Lenora,3557
Celia,3532
Charlene,3504
Jackie,3501
Dorthy,3487
Elva,3479
Myron,3472
Loren,3464
Eldon,3462
Aaron,3459
Eleanore,3458
Guadalupe,3455
Ellis,3445
Norbert,3445
Alta,3389
Annabelle,3388
Dick,3384
Perry,3359
Loyd,3358
Lizzie,3328
Arline,3325
Angela,3323
Felix,3313
Karl,3307
Joann,3305
Neil,3302
Gerard,3295
Nell,3289
Rosemarie,3289
Owen,3279
Corinne,3258
Fredrick,3258
Therese,3225
Estella,3217
Grady,3212
Laurence,3210
Clarice,3201
Mavis,3187
Elinor,3183
Bert,3160
Carmela,3154
Darrell,3134
Rex,3122
Ila,3117
Judith,3101
Mack,3096
Troy,3084
Murray,3082
Bettye,3072
Elwood,3064
Byron,3052
Emmett,3030
Otto,3010
Dominick,3001
Ross,2993
Burton,2993
Elnora,2984
Bernadine,2964
Elvira,2945
Gracie,2943
Doyle,2937
Grover,2933
Percy,2907
Nannie,2906
Amy,2889
Willa,2872
Ramon,2870
Deloris,2854
Sherman,2833
Helene,2825
Mario,2807
Olivia,2777
Yolanda,2768
Pat,2767
Myra,2761
Eugenia,2737
August,2727
Carlos,2719
Harley,2708
Aileen,2701
Amos,2693
Virgie,2690
Elma,2668
Carmella,2667
Paula,2666
Dominic,2664
Marcia,2659
Linda,2654
Carlton,2642
Wilson,2638
Rhoda,2633
Lupe,2630
Irwin,2628
Rodney,2627
Lynn,2605
Roosevelt,2592
Abraham,2590
Flossie,2577
Matilda,2549
Francisco,2536
Boyd,2524
Rena,2523
Suzanne,2513
Dwight,2512
Aubrey,2511
Rosetta,2494
Earline,2492
Margery,2479
Frieda,2446
Harlan,2441
Ruben,2424
Louie,2415
Concetta,2408
Harriett,2401
Erwin,2388
Glenna,2376
Leah,2357
