name,frequency
Clayton,1410
Douglas,1407
Allie,1401
Wilbert,1389
Phillip,1381
Irvin,1358
Elnora,1356
Aaron,1343
Rosemary,1339
Don,1339
Nelson,1334
Felix,1332
Zelma,1323
Rena,1312
Winnie,1303
Dan,1303
Millie,1294
Leah,1279
Bruce,1279
Ronald,1274
Gracie,1273
Percy,1265
Eliza,1262
Will,1256
Delbert,1253
Adam,1250
Grady,1247
Karl,1245
Carol,1244
Forrest,1244
Callie,1225
Mack,1222
Ervin,1222
Laverne,1218
Elvira,1216
Billie,1211
Gussie,1207
Bert,1206
Wilfred,1205
Lenora,1202
Lyle,1197
Lessie,1195
Ellis,1192
Letha,1186
Antonio,1185
Adelaide,1184
Ila,1175
Alton,1170
Dollie,1166
Tillie,1163
Adolph,1157
Josie,1154
Dominick,1151
Julian,1149
Eleanore,1143
Roosevelt,1123
Cornelia,1114
Eugenia,1114
Hester,1113
Emmett,1112
Ivan,1108
Pete,1105
Jay,1104
Olivia,1096
Charley,1089
Belle,1076
Edythe,1076
Dennis,1070
Iris,1046
Kate,1044
Peggy,1037
Lorena,1037
Mark,1030
Gwendolyn,1027
Carmela,1025
Cecile,1021
Leland,1013
Madge,1012
Odessa,1011
Amos,1009
Clarice,1000
Joyce,996
Roscoe,993
Juan,992
Nick,985
Maudie,965
Grover,963
Myra,962
Harriett,961
Bertie,960
Hyman,953
Neva,950
Owen,950
Johnny,947
Lora,946
Ed,945
Avis,944
Melba,938
Rosetta,936
Elinor,936
Frankie,935
Laurence,934
Natalie,933
Augusta,920
Pearlie,916
Elwood,914
Lowell,902
Perry,895
Carroll,871
Dominic,868
Ross,867
Roxie,866
Byron,862
Hallie,857
Katharine,856
Connie,852
Reuben,849
Murray,848
Claudia,831
Sherman,831
Ophelia,830
Helena,829
Troy,829
Corinne,828
Aubrey,828
Annabelle,824
Malcolm,824
Cornelius,821
Concetta,820
Dave,811
Corine,810
Bettie,809
Gene,808
Loyd,805
Odell,804
Kermit,798
Aline,796
Nola,794
Myron,792
Dessie,791
Lou,788
Simon,785
Moses,784
Austin,778
Solomon,775
Donna,774
Erwin,771
Jake,770
Preston,770
Yvonne,769
Birdie,757
Imogene,752
Ted,750
Freddie,749
Jasper,747
Johanna,746
Aileen,743
Booker,735
Willa,733
Leila,728
Stephanie,728
Berniece,726
Guadalupe,714
Alva,712
Iola,709
Christina,709
Rhoda,699
Wendell,698
Fredrick,697
Lenore,692
Lily,690
Lelia,687
Alyce,687
Priscilla,686
Zella,685
Patsy,681
Allan,679
Loren,676
Louie,675
Rosella,675
Cleveland,672
Emanuel,672
Millard,669
Dean,669
Carmella,666
Tessie,664
Delia,663
Monroe,663
Erna,662
Leota,660
Linda,659
Rex,658
Maurine,657
Harley,655
Oma,650
Anton,649
Dovie,648
Bernadine,647
Wilhelmina,647
Sol,639
Carlton,633
Molly,627
Eldon,627
Pansy,621
Lilly,619
Jesus,616
Jannie,611
Edmond,609
Loraine,606
Boyd,606
Dewey,605
Arline,604
Mario,604
Ione,600
Buster,600
Garland,598
Harrison,595
Dolly,591
Catharine,590
Gerard,589
Nadine,587
Wade,583
Gus,579
Gertie,578
Jess,576
Philomena,571
Alonzo,569
Dwight,567
Mayme,566
Pasquale,564
Norbert,561
Robbie,558
Elmo,551
Alphonse,551
Elijah,550
Maud,548
Barney,548
Larry,547
Alvina,542
Rocco,541
Antonia,540
Rubye,539
Keith,539
Isabell,534
Mitchell,534
Bernadette,533
Abe,532
Isadore,529
Claud,526
Isabella,525
Wilmer,524
Pedro,517
Jeff,514
Clark,513
Meyer,513
Morton,511
Artie,510
Bruno,502
Seymour,502
Grant,501
Georgie,500
Thurman,496
Lynn,493
Clement,490
Mona,488
Clair,488
Nona,486
Clare,486
Burton,485
Steven,485
Queen,483
Janice,483
Mozelle,482
Russel,482
Leone,481
Lucinda,474
Bob,474
Ramona,472
Gloria,470
Vada,465
Florine,465
Cyril,465
Paula,461
Elisabeth,459
Dixie,457
Forest,457
Christopher,454
Francisco,449
Armand,449
Kay,448
Allene,447
Louella,446
Yetta,439
Lona,437
Garnet,437
Ramon,435
Cynthia,433
Sybil,432
Noah,431
Sammie,430
Verda,428
Wiley,428
Eli,428
Orval,427
Cassie,424
Vesta,422
Gretchen,422
Leora,422
Neil,422
Ocie,421
Rae,421
Hettie,418
Polly,417
Reva,417
Madelyn,416
Ellsworth,416
Buford,415
Iona,414
Beryl,414
Reginald,413
Bobbie,412
Monica,411
Andy,411
Floy,409
Bella,409
Zelda,406
Linnie,405
Alfonso,405
Maynard,405
Saul,405
Emery,400
Carlos,400
Conrad,400
Estell,399
Alpha,399
Randolph,399
Carmine,397
Wilda,395
Mathilda,394
Mittie,393
Ester,392
Oleta,392
Joel,392
Earline,391
Tommy,390
Timothy,390
Doyle,390
Filomena,389
Elton,385
Irwin,385
Isidore,383
Lupe,382
Mercedes,382
Lettie,381
Earle,381
Ruben,381
Leta,376
Emory,376
Magnolia,375
Hortense,372
Marcus,369
Era,367
Lura,367
Fanny,367
Ferdinand,365
Elise,363
Sydney,363
Stuart,363
Vito,363
Dallas,362
Alan,362
Elsa,361
Myrtis,359
Madeleine,359
Althea,358
Evie,357
Mose,356
Levi,354
Adrian,354
Yolanda,353
Herschel,349
Silas,349
Harriette,348
Margarita,348
Odis,347
Minerva,345
Blanch,344
Elda,344
Ruthie,342
Roman,340
Ward,339
Lauretta,338
Ned,337
Harlan,337
Petra,336
Agatha,334
Margery,331
Judith,328
Eve,324
Coy,323
Stewart,320
Golda,318
Vida,315
Augustus,315
Louisa,314
Neal,312
Ferne,311
Delores,310
Lionel,309
Adell,308
Manuela,307
Ivy,306
Elena,306
Elvin,302
Basil,302
Lulu,301
Hugo,299
Germaine,298
Aurora,297
Rosalind,297
Albina,297
Julie,295
Mazie,293
Maybelle,293
Lovie,292
Ona,292
Marietta,290
Aloysius,290
Travis,289
Frederic,289
Wilburn,288
Beth,287
Luke,287
Weldon,287
Vergie,286
Hollis,286
Juana,283
Emerson,282
Dorotha,281
Valeria,280
Ava,278
Idella,277
Sudie,277
Rhea,277
Lue,276
Orpha,276
Camille,275
Anderson,275
Francisca,274
Dock,274
Phoebe,273
Luis,273
Al,272
Dorthy,271
Myrtice,269
Isiah,269
Juliette,268
Idell,264
Diana,264
Linwood,263
Winona,262
Bess,262
Columbus,262
Emile,262
Mathew,261
Merrill,259
Nelle,257
Glenna,255
Sterling,254
Rodney,254
Una,253
Consuelo,253
Sigmund,253
Angie,252
Vern,252
Jules,252
