name,frequency
Helene,4740
Reba,4708
Lonnie,4683
Teresa,4681
Melba,4679
Felix,4676
Gene,4667
Matilda,4666
Eleanore,4642
Dan,4589
Nathaniel,4589
Rufus,4563
August,4563
Nick,4548
Isaac,4530
Nelson,4527
Sophia,4521
Leland,4498
Julian,4497
Donna,4480
Nannie,4415
Elma,4357
Jay,4340
Tommie,4339
Aaron,4337
Amy,4297
Peggy,4282
Karl,4282
Estella,4267
Iris,4263
Alton,4230
Ellis,4223
Gwendolyn,4209
Flossie,4185
Pete,4185
Adolph,4089
Grover,4054
Dean,4020
Adam,4018
Bert,4016
Grady,4009
Antonio,4006
Beverly,3990
Emmett,3974
Dennis,3951
Lowell,3900
Johnny,3894
Elnora,3892
Mark,3890
Billy,3873
Dominick,3783
Imogene,3781
Percy,3774
Leah,3761
Elvira,3719
Carroll,3716
Elinor,3712
Lenora,3701
Virgie,3696
Elwood,3692
Eugenia,3653
Hannah,3651
Keith,3633
Edythe,3571
Owen,3571
Roscoe,3568
Ila,3556
Millie,3549
Rena,3544
Myron,3487
Mack,3485
Ross,3480
Harriett,3469
Clarice,3451
Loyd,3435
Laurence,3433
Dominic,3427
Byron,3417
Perry,3402
Malcolm,3348
Amos,3345
Winnie,3333
Rex,3324
Wendell,3294
Ted,3276
Neva,3266
Adelaide,3259
Zelma,3256
Allie,3241
Carmela,3235
Bettie,3226
Yvonne,3172
Freddie,3168
Sherman,3161
Gracie,3157
Letha,3150
Charley,3138
Priscilla,3137
Annabelle,3131
Cecile,3114
Erwin,3110
Fredrick,3101
Natalie,3090
Eldon,3071
Myra,3064
Olivia,3064
Connie,3064
Troy,3057
Harley,3030
Gloria,3024
Seymour,3023
Reuben,3016
Juan,3010
Nadine,2990
Loren,2984
Allan,2981
Cornelia,2969
Arline,2955
Dewey,2951
Janice,2937
Austin,2933
Tillie,2928
Amanda,2924
Frankie,2914
Norbert,2903
Bette,2886
Murray,2881
Madge,2844
Aubrey,2819
Preston,2790
Josie,2787
Bob,2781
Carmella,2774
Lorena,2772
Berniece,2754
Helena,2754
Odessa,2750
Louie,2739
Millard,2709
Bernadine,2707
Odell,2702
Dollie,2696
Avis,2690
Cornelius,2690
Jess,2650
Concetta,2643
Gussie,2634
Boyd,2621
Lessie,2613
Will,2583
Patsy,2578
Alva,2572
Carlton,2557
Eliza,2546
Callie,2541
Hester,2538
Jasper,2538
Gerard,2533
Delores,2499
Rhoda,2494
Rosetta,2479
Burton,2479
Mario,2462
Alyce,2453
Garland,2449
Aileen,2446
Edmond,2446
Rosella,2444
Kermit,2437
Claudia,2434
Grant,2427
Jesus,2423
Stephanie,2410
Mitchell,2408
Leila,2391
Lenore,2387
Dwight,2369
Lora,2360
Willa,2360
Hyman,2349
Guadalupe,2339
Lynn,2334
Aline,2333
Jake,2318
Roosevelt,2316
Wilmer,2315
Lily,2312
Simon,2292
Loraine,2291
Sybil,2284
Larry,2283
Neil,2278
Katharine,2259
Corinne,2258
Solomon,2251
Dave,2246
Augusta,2241
Emanuel,2239
Monroe,2237
Margery,2235
Christina,2216
Thurman,2213
Morton,2209
Harrison,2201
Anton,2200
Moses,2197
Bertie,2183
Rocco,2172
Steven,2155
Ione,2148
Tessie,2147
Lou,2145
Elmo,2142
Pearlie,2136
Alphonse,2130
Maudie,2120
Leota,2105
Nola,2104
Corine,2101
Kate,2096
Bruno,2090
Wade,2084
Belle,2075
Junior,2074
Ed,2066
Johanna,2065
Maynard,2063
Iona,2056
Elton,2043
Clair,2021
Iola,2019
Ophelia,2003
Dorthy,2000
Cleveland,1992
Doyle,1990
Erna,1988
Florine,1982
Roxie,1961
Clement,1959
Clark,1958
Russel,1957
Dolly,1945
Ramona,1938
Claud,1936
Carlos,1935
Maurine,1927
Conrad,1915
Joel,1908
Dessie,1900
Yolanda,1891
Lilly,1888
Gus,1877
Alan,1877
Linda,1853
Dallas,1832
Earle,1829
Elvin,1828
Orval,1822
Andy,1819
Bernadette,1816
Molly,1811
Forest,1809
Lelia,1808
Sammie,1808
Alonzo,1805
Bobbie,1803
Barney,1802
Cyril,1790
Wilda,1778
Sol,1778
Harlan,1776
Robbie,1772
Reva,1759
Philomena,1759
Marcus,1751
Oma,1746
Ruben,1745
Dixie,1744
Armand,1740
Mavis,1729
Judith,1724
Delia,1713
Antonia,1712
Beth,1711
Alvina,1707
Kay,1700
Booker,1696
Emery,1693
Gail,1690
Neal,1687
Elijah,1682
Jacqueline,1675
Hope,1666
