name,frequency
Deanna,8196
Claire,8178
Kristine,8149
Vicky,8133
Frankie,8113
Mitchell,8101
Sidney,8085
Nina,8041
Hugh,8029
Gerard,8027
Terri,7965
Francine,7903
Caroline,7889
Debbie,7869
Perry,7866
Sammy,7750
Fredrick,7750
Mattie,7732
Rex,7692
Myra,7538
Susie,7536
Tim,7518
Rosalie,7507
Belinda,7478
Guadalupe,7460
Lisa,7452
Benny,7386
Dora,7352
Bennie,7325
Gale,7316
Melinda,7276
Amy,7256
Daryl,7251
Sandy,7248
Minnie,7245
Edgar,7232
Ramona,7144
Shelley,7139
Rosemarie,7110
Willard,7103
Bessie,7066
Jeannette,7054
Clifton,7019
Elmer,7017
Trudy,6967
Cecilia,6950
Morris,6825
Antoinette,6744
Earnest,6734
Iris,6723
Deloris,6693
Dixie,6689
Ruben,6685
Monica,6633
Tommie,6630
Darryl,6627
Clinton,6624
Greg,6569
Melanie,6535
Marguerite,6497
Everett,6464
Lyle,6442
Virgil,6353
Madeline,6347
Irma,6345
Ira,6329
Geneva,6328
Velma,6316
Shelia,6300
Elsie,6227
Naomi,6225
Antonio,6222
Otis,6201
Betsy,6184
Neal,6157
Max,6117
Nellie,6078
Byron,6074
Jesus,6073
Nelson,6063
Mae,6024
Terrance,6017
Ben,5950
Doreen,5939
Clayton,5939
Cecelia,5923
Miriam,5869
Cora,5858
Agnes,5832
Luther,5826
Patti,5822
Ross,5815
Ernestine,5811
Holly,5782
Olivia,5775
Leona,5762
Laurence,5759
Wendell,5675
Melody,5569
Jennie,5568
Aaron,5566
Jeannie,5518
Rudolph,5518
Verna,5505
Hilda,5502
Alex,5495
Laurel,5489
Laverne,5437
Brent,5424
Viola,5411
Jeff,5409
Hattie,5337
Melissa,5334
Tyrone,5327
Alicia,5316
Alberta,5264
Carroll,5227
Lucinda,5220
Kurt,5203
Nathan,5151
Marcella,5113
Horace,5085
Lena,5082
Ginger,5075
Lola,5050
Lynette,5050
Mona,5045
Tina,5029
Nadine,4985
Loren,4958
Delbert,4922
Troy,4867
Rudy,4866
Penelope,4838
Hubert,4797
Mickey,4758
Saundra,4750
Mario,4728
Pearl,4718
Bryan,4712
Rodger,4707
Lula,4696
Raul,4695
Cathleen,4673
Gertrude,4672
Kirk,4658
Susanne,4647
Della,4643
Alton,4637
Leland,4606
Archie,4558
Lowell,4554
Pete,4538
Bettye,4520
Sylvester,4492
Lance,4478
Eunice,4473
Carlton,4470
Salvatore,4447
Homer,4439
Luis,4420
Roosevelt,4394
Daisy,4389
Edmund,4383
Clark,4381
Roberto,4363
Oliver,4353
Francisco,4332
Margo,4324
Sherman,4318
Wilbert,4316
Sharron,4312
Kenny,4304
Roxanne,4300
Gretchen,4286
Darrel,4280
Katie,4268
Bette,4265
Malcolm,4252
Candice,4251
Kathie,4231
Bettie,4229
Erma,4220
Glenna,4211
Ron,4197
Unknown,4159
Jerald,4157
Myron,4155
Cheri,4149
Isaac,4117
Fannie,4107
Doyle,4100
Teddy,4068
Kelly,4054
Flora,4022
Willis,4010
Jenny,3983
Julius,3979
Sherrie,3971
Violet,3969
Geoffrey,3962
Amelia,3960
Karla,3956
Noreen,3934
Sondra,3925
Jayne,3888
Darla,3882
Sammie,3867
Molly,3860
Van,3852
Mack,3834
Eloise,3822
Ada,3806
Claudette,3805
Ricardo,3782
Julian,3779
Myrna,3752
Gay,3749
Henrietta,3741
Myrtle,3738
Preston,3725
Marla,3720
Gregg,3715
Helene,3705
Wilbur,3696
Wade,3687
Merle,3674
Ramon,3670
Mamie,3662
Pedro,3658
Sallie,3647
Rosetta,3646
Celia,3639
Jacob,3637
Diann,3633
Therese,3631
Nick,3593
Dick,3590
Olga,3588
Felix,3550
Ken,3547
Rene,3538
Dewey,3518
Cassandra,3501
Rosalind,3495
Todd,3495
Forrest,3494
Lorna,3482
Sharyn,3469
Rochelle,3467
Lou,3451
Ollie,3445
Rufus,3434
Marcus,3433
Adrienne,3420
Janette,3419
Ivan,3417
Joanna,3408
Jamie,3398
April,3386
Denis,3352
Freda,3333
Faith,3332
Camille,3322
Maggie,3316
Gwen,3316
Margarita,3315
Ellis,3313
Ervin,3312
Melba,3311
Lauren,3305
Reba,3296
Armando,3290
Grady,3285
Sherri,3260
Polly,3249
Grant,3247
Phil,3224
Hector,3216
Lupe,3205
Kaye,3204
Nelda,3198
Earnestine,3172
Roseann,3166
Stewart,3131
Sonja,3130
Andy,3107
Gerry,3096
Woodrow,3062
Bradford,3028
Jody,3027
Mable,3025
Dallas,3015
Freddy,3005
Patrice,3001
Angelo,3000
Shelby,2990
Lora,2962
Robbie,2922
Adele,2919
Randal,2918
Elbert,2903
Inez,2888
Percy,2875
Genevieve,2871
Leah,2855
Lenora,2850
Wilson,2837
Estella,2818
Owen,2817
Cherie,2807
Roderick,2797
Ruthie,2795
Natalie,2793
Lila,2786
Cary,2785
Miguel,2777
Celeste,2770
Jeanie,2751
Kimberly,2739
Monte,2739
Isabel,2738
Pam,2736
Ilene,2728
Jeri,2719
Travis,2714
Rena,2712
Corinne,2710
Brad,2709
Jessica,2692
Hope,2688
Terence,2688
Fay,2681
Garland,2672
Rosanne,2667
Conrad,2666
Noel,2663
Sheldon,2663
Muriel,2662
Christy,2650
Irvin,2636
Lanny,2623
Bert,2593
Rickie,2585
Tamara,2573
Dee,2571
Delia,2569
Karin,2569
Sheri,2567
Boyd,2562
Gracie,2552
Buddy,2547
Louie,2543
Dona,2537
Lorenzo,2509
